KEGG Pathway and Enzyme ID	Gene name
00480+2.3.2.2+3.4.19.13	GGT1
00430+2.3.2.2	GGT1
00460+2.3.2.2	GGT1
00480+2.3.2.2+3.4.19.13	GGT1
	BST2
00430+2.3.2.2	GGT1
00460+2.3.2.2	GGT1
00480+2.3.2.2+3.4.19.13	GGT1
00430+2.3.2.2	GGT1
00460+2.3.2.2	GGT1
00480+2.3.2.2+3.4.19.13	GGT1
	TMPRSS11A
	SPATA7
	CDH22
	TMPRSS11A
	APP
	TMPRSS11A
	APP
	ZNHIT3
	ANAPC15
	PSMA3
	CREB3
	APP
	PSMA3
	POU5F1
	APP
	PSMA3
	ZNHIT3
	IGFLR1
	GGT1
	ZNHIT3
	PSMA3
	GGT1
	APP
	IGFLR1
	GGT1
	ZNHIT3
	PSMA3
	IGFLR1
	GNRHR
	IGFLR1
	ZNHIT3
	APP
	GNRHR
	IGFLR1
	ZNHIT3
	SPATA7
	RPS18
	IGFLR1
	SPATA7
	ZNHIT3
	IGFLR1
	SPATA7
	APP
00430+2.3.2.2	GGT1
00460+2.3.2.2	GGT1
00480+2.3.2.2+3.4.19.13	GGT1
	IGFLR1
	APP
	IGFLR1
	APP
	SPATA7
	SPATA7
	SPATA7
	RPS18
	SPATA7
	ARMH4
	AD000671.2
	CLDN25
	SPATA7
	ATAT1
	DAGLA
	JUND
	EXT2
	JUND
	SPATA7
	ANAPC15
	NPR3
	ARMH4
	DAGLA
	SPATA7
	ANAPC15
	SPATA7
	ARAP3
	ANAPC15
	NPR3
	SPATA7
	ANAPC15
	SPATA7
	TMEM258
	APP
	ANAPC15
	ARAP3
	SPATA7
	KMT2E
	NPR3
	SPATA7
	ANAPC15
	TMEM258
	NPR3
	ANAPC15
	CPD
	NPR3
	ARAP3
	RPS18
	TMEM258
	ANAPC15
	NPR3
	TMEM258
	ANAPC15
	ARAP3
	TMEM258
	KDM5A
	ANAPC15
	TMPRSS11D
	C9orf24
	CPD
	ANAPC15
	ARAP3
	TMEM258
	NXF2
	ANAPC15
	C9orf24
	ANAPC15
	TMPRSS11D
	KMT2E
	C9orf24
	KMT2E
	KMT2E
	CPD
	KMT2E
	CPD
	VEGFD
	CPD
	C9orf24
	BACE2
	ATAT1
	KMT2E
	KMT2E
	CCZ1B
	BACE2
	PTPN21
	NXF2
	C9orf24
	PTPN21
	KMT2E
	BACE2
	SRARP
	TMPRSS11F
	C9orf24
	FRMD6
	ATAT1
	POU5F1
	ATAT1
00310+2.1.1.43	KMT2B
	POU5F1
	FRMD6
	ATAT1
	KMT2E
	KMT2E
	ATAT1
	FRMD6
	CCZ1B
	FRMD6
	KMT2E
	KDM5A
	KMT2E
	PTPN21
	COL12A1
	DBN1
	SASH1
	KDM5A
	KDM5A
	LAMTOR1
	COL12A1
	DBN1
	KDM5A
	PTPN21
	LAMTOR1
	COL12A1
	KMT2E
	CCZ1B
	FRMD6
	LAMTOR1
	COL12A1
	PTPN21
	SASH1
	SASH1
	FRMD6
	COL12A1
	SASH1
	DBN1
	TGFBR2
	COL12A1
	FRMD6
	LAMTOR1
	FRMD6
	C19orf25
	LAMTOR1
	DBN1
00062+2.3.1.199	ELOVL6
	SASH1
	USP25
	DBN1
	LAMTOR1
	C19orf25
00062+2.3.1.199	ELOVL6
	TGFBR2
	DBN1
	USP25
	C19orf25
	DBN1
	ELOVL6
	C19orf25
00062+2.3.1.199	ELOVL6
	USP25
	C19orf25
	COL12A1
00062+2.3.1.199	ELOVL6
	C19orf25
	C19orf25
	USP25
	C19orf25
	GAREM2
	USP25
	GUCD1
	POU5F1
	GAREM2
	C19orf25
	U2AF1L4
	GUCD1
	USP25
	GUCD1
	LILRB4
	C19orf25
	MYRF
	C19orf25
	U2AF1L4
	PPP1R18
	GUCD1
	PPP1R18
	GUCD1
	CPLANE1
	POU5F1
	MYRF
	LILRB4
	POU5F1
	NPFFR2
	GUCD1
	LILRB4
	MYRF
	POU5F1
	LILRB4
	NPFFR2
	POU5F1
	OR9A2
	U2AF1L4
	GUCD1
	U2AF1L4
	CPLANE1
	NPFFR2
	CPLANE1
	U2AF1L4
	LILRB4
	MROH6
	U2AF1L4
	TMEM175
	PRTN3
	GUCD1
	NPFFR2
	RSPH10B2
	EPS15L1
	PRTN3
	ACTR10
	RBM43
	OR6V1
	LRRC75B
	MRPL32
	RBM43
	RSPH10B2
	MRPL32
	RSPH10B2
	MRPL32
	LRRC75B
	EPS15L1
	CPLANE1
	RSPH10B2
	CCDC77
	CCDC77
	CPLANE1
	ACTR10
	U2AF1L4
	VPS52
	LRRC75B
	ACTR10
	MROH6
	ACTR10
	EPS15L1
	U2AF1L4
	ACTR10
	CPLANE1
	EPS15L1
	SMIM18
	CCDC77
	ACTR10
	SMIM18
	U2AF1L4
	ACTR10
	RSPH10B2
	WNT7A
	ELANE
	EPS15L1
	PTPRU
	U2AF1L4
	EPS15L1
	APC2
	RSPH10B2
	PTPRU
	ELANE
	EPS15L1
	ZNF563
	U2AF1L4
	PTPRU
	CCDC77
	EPS15L1
	ACTR10
	CCDC77
	EPS15L1
	ACTR10
	APC2
	ZNF563
	EPS15L1
	ZNF563
	PTPRU
	EPS15L1
	ZNF563
	NXNL2
	CCDC77
	OR51E2
	NXNL2
	NXNL2
	EPS15L1
	OR51E2
	OR51E2
	OR51C1P
	GTF2E2
00534+2.4.1.224+2.4.1.225	EXT2
	IL18BP
00534+2.4.1.224+2.4.1.225	EXT2
	IL18BP
	GTF2E2
	CLDN15
	GTF2E2
	GTF2E2
00534+2.4.1.224+2.4.1.225	EXT2
	APC2
	CLDN15
00534+2.4.1.224+2.4.1.225	EXT2
	IL18BP
	GDAP1
	CLDN15
	LPCAT1
	GDAP1
	CLDN15
	APC2
	LPCAT1
	CLDN15
	TMEM175
	IL18BP
	APC2
	IL18BP
	VPS52
	UCP1
	APC2
	GDAP1
	APC2
	IL18BP
	LPCAT1
	CLDN15
00534+2.4.1.224+2.4.1.225	EXT2
	IL18BP
	SORCS3
	IL18BP
	SORCS3
	GU182347.5
	AP003108.2
	SORCS3
	IL18BP
	IL18BP
	RASGEF1A
	IL18BP
	GRID2IP
	RASGEF1A
	GRID2IP
	AP003108.2
	RASGEF1A
	JPH1
	RASGEF1A
	AP003108.2
	GRID2IP
	AP003108.2
00230+3.1.4.53	PDE8B
	SHISA9
00230+3.1.4.53	PDE8B
	SHISA9
	MICB
	JPH1
	SHISA9
	MICB
	SNTG1
	SLCO4C1
	MICB
00230+3.1.4.53	PDE8B
	WFDC10A
	SNTG1
	SNTG1
	CLCNKA
	SNTG1
	SNTG1
	SNHG32
	SNTG1
	SNHG32
	MOB2
	SNTG1
	WFDC9
	SNTG1
	CLCNKA
	SLC4A10
	SNTG1
	CLCNKA
00230+3.1.4.53	PDE8B
	TMEM175
	SNHG32
	SNTG1
	GOLGA6L7
	ANXA1
	TMEM175
	SNTG1
00230+3.1.4.53	PDE8B
	SNHG32
	SNTG1
	SNHG32
	MOB2
	TMEM175
	SNTG1
	PDE8B
	ANXA1
	SNTG1
	SNHG32
	PDE8B
	ANXA1
	SNHG32
	SNTG1
	CDHR5
	TMEM175
	ANXA1
	SNHG32
	PDE8B
	SLC4A10
	HSPB7
	SOX4
	SNTG1
	TMEM175
	SNTG1
	SNHG32
	C13orf42
	SNTG1
	MUC4
	SLC4A10
	SNTG1
	BAALC
	SNTG1
	SNHG32
	HSPB7
	BAALC
	SLC4A10
	BAALC
	HSPB7
	SLC4A10
	BAALC
	TMEM175
	MUC4
	BAALC
	SLC4A10
	TMEM175
	CDHR5
	HSPB7
	WT1
	TMEM175
	FBN3
04658+3.1.3.16	DUSP8
05235+3.1.3.16	DUSP8
04660+3.1.3.16	DUSP8
	TMEM175
	MUC4
	FBN3
	WFDC11
	TMEM175
	CDHR5
	WFDC11
	PDE1A
04658+3.1.3.16	DUSP8
05235+3.1.3.16	DUSP8
04660+3.1.3.16	DUSP8
	MUC4
	HSPB7
	WFDC11
	PDE1A
	KRTAP5-2
	KRTAP5-1
	PDE1A
	CDHR5
	FBN3
	TMEM175
	HSPB7
	CDHR5
	MUC4
	FBN3
	CDHR5
	WT1
	ATP6AP2
	KRTAP5-3
	CDHR5
	SLC22A8
	SLC22A8
	PDE1A
	FXYD4
	WT1
	PDE1A
	FBN3
	SLC22A8
	COLEC11
	WT1
	SLC22A8
	FBN3
	TBR1
	SLC22A8
	WT1
	FXYD4
	TBR1
	FZD6
	TBR1
	FZD6
	WT1
	WT1
	FZD6
	WT1
	FZD6
	WT1
	FZD6
	WT1
	COLEC11
	FZD6
	FZD6
	COLEC11
	COLEC11
	RGS10
	MCCD1
	RGS10
	RASSF1
	LRRCC1
	RGS10
	WFDC10B
	N6AMT1
	CFD
	WFDC10B
	CFD
	N6AMT1
	EIF3G
	N6AMT1
	EIF3G
	OLAH
	WFDC13
	OLAH
	EIF3G
	OLAH
	CCL15
	EIF3G
	EDA
	EIF3G
	FADS1
	EDA
	LRRCC1
	LRRCC1
	EDA
	COLEC11
	LRRCC1
	LRRCC1
	MAGEA9B
	LRRCC1
	MAGEA9B
	MAGEA9B
	COLEC11
	OCA2
	FADS1
	MAGEA9B
	CCL15
	COLEC11
	OCA2
	COLEC11
	CHMP7
	RASSF1
	EIF3G
	NELFE
	CHMP7
	OCA2
	HSFX2
	EIF3G
	OCA2
	COLEC11
	EIF3G
	COLEC11
	OCA2
	CCL15-CCL14
	MEX3C
	CCL15-CCL14
	RASSF1
	OLAH
	SLC39A2
	CCL14
	OLAH
	EDA
	MEX3C
	OLAH
	P2RY11
	MEX3C
	EDA
	RASSF1
	CHMP7
	EDA
	CHMP7
	SLC39A2
	CRIM1
	EDA
	CRIM1
	CHMP7
	CRIM1
	EDA
	RILP
	BCAP29
	RASSF1
	FADS1
	CHMP7
	RASSF1
	CCL14
	FADS1
	BCAP29
	FADS1
	SLC6A3
	CCL14
	CETN3
	RILP
	FADS1
	RASSF1
	FADS1
	FADS1
	CETN3
	CCL14
	FADS1
	CETN3
	FADS1
	BCAP29
	CETN3
	EEF1D
	FADS1
	CETN3
	BCAP29
	MED10
	FADS1
	CETN3
	FADS1
	KRTAP5-4
	KRTAP5-4
	FADS1
	BCAP29
	FADS1
	BCAP29
	NELFE
	NUMA1
	LRFN2
	KRTAP5-5
	NELFE
	BCAP29
	FADS1
	PPAN
	NELFE
	PTPRG
	BCAP29
	FADS1
	PPAN
	BCAP29
	PTPRG
	FADS1
	PPAN
	BCAP29
	NELFE
	BCAP29
	PPAN
	BCAP29
	NELFE
	BCAP29
	PPAN
	PPP1R11
	FEN1
	FEN1
	DDX39B
	FEN1
	HLA-DQA2
	GFRA4
	HLA-DQA2
00270+5.3.1.23	EIF2B4
	GFRA4
	GFRA4
	TMEM187
	SNTB2
	PPAN-P2RY11
00350+3.7.1.2	FAH
00643+3.7.1.2	FAH
	SNTB2
	C3orf14
	EIF2B4
	SNTB2
	CPSF7
	TMEM187
	TMEM187
	SNTB2
	PPAN-P2RY11
00270+5.3.1.23	EIF2B4
	SNTB2
	C3orf14
00270+5.3.1.23	EIF2B4
	C3orf14
00270+5.3.1.23	EIF2B4
	PPP1R11
	C3orf14
	C3orf14
	EIF2B4
	EIF2B4
	HLA-DQB2
	HLA-DQB2
	HLA-DQB2
	HLA-DQB2
	VLDLR
	VLDLR
	MVB12A
	P2RY2
	EIF2B4
	VLDLR
	P2RY2
	RNF111
	P2RY2
00270+5.3.1.23	EIF2B4
	HIC1
	MUC4
	SKIV2L
	HIC1
	PTDSS1
	MUC4
	HLA-DOB
	HIC1
	PPP1R11
	MVB12A
	MVB12A
	HIC1
	PTDSS1
	EEF1B2
	HIC1
	EEF1B2
	HIC1
	PTDSS1
	PPP1R11
	HIC1
	EEF1B2
	TBRG4
	MBOAT7
	EEF1B2
	TBRG4
	AAMDC
	AAMDC
	EEF1B2
	TBRG4
	EEF1B2
	PPP1R11
	MBOAT7
	HLA-DOB
	EEF1B2
	AAMDC
	MBOAT7
	HLA-DOB
	S1PR3
	MVB12A
	EEF1B2
	AAMDC
	MBOAT7
	IGF2R
	TBRG4
	PPP1R11
	AAMDC
	TBRG4
	S1PR3
	AAMDC
	MBOAT7
	AAMDC
	S1PR3
	AAMDC
	S1PR3
	IGF2R
	TBRG4
	AAMDC
	SLC11A1
	TBRG4
	AAMDC
	MVB12A
	AAMDC
	SLC11A1
	MVB12A
	TBRG4
	UBE2QL1
00350+3.7.1.2	FAH
00643+3.7.1.2	FAH
	TBRG4
	TBRG4
	MVB12A
	SRR
	MVB12A
	SLC11A1
	PCDH1
	CPSF7
	SKIV2L
	PCDH1
	SLC11A1
	SCT
	SLC11A1
	MUC4
00350+3.7.1.2	FAH
00643+3.7.1.2	FAH
	PCDH1
	MUC4
	RPL17
00350+3.7.1.2	FAH
00643+3.7.1.2	FAH
	PCDH1
	ADAMTS3
	RPL17
	WDR41
	PCDH1
	PCDH1
	SNX13
	SNX13
	INTS4
	MUC4
	MUC4
	MUC4
	USF2
	SRR
	RPL17
	MUC4
	SRR
	RPL17
	FAH
	MUC4
	ADAMTS3
	SRR
	RPL17
	MUC4
	SRR
	MUC4
	EPHA1
	RPL17
	MUC4
	WDR41
	SRR
	WDR41
	RPL17
	USF2
	SRR
	RPL17
	PHF6
	SRR
	CNTNAP2
	RPL17
	USF2
	PHF6
	SNX13
	CPSF7
	USF2
	RPL17
	CPSF7
	SNX13
	PHF6
	PITHD1
	PHF6
	USF2
	PITHD1
	PHF6
	CNTNAP2
	RPL17
	USF2
	PITHD1
	SGSM2
	RPL17
	USF2
	RNF39
	RPL17
	RNF111
	CNTNAP2
	RNF111
	GTF3C2
	FIS1
	GTF3C2
	RPL17
	MUC4
	CPSF7
	GTF3C2
	RPL17
	TAS2R60
	USF2
	RNF111
	RORB
	USF2
	USF2
	CPSF7
	RORB
	GTF3C2
	USF2
	FIS1
	DRD4
	FIS1
	GTF3C2
	CPSF7
	STXBP6
	RNF111
	CPSF7
	CPSF7
	RNF111
	STXBP6
	CPSF7
	RNF111
	SNX13
	STXBP6
	GTF3C2
	STXBP6
	MN1
	CPSF7
	GTF3C2
	CPSF7
	STXBP6
	MN1
	CPSF7
	SHC3
	GTF3C2
	ITPR1
	STXBP6
	CPSF7
	FIS1
	SHC3
	STXBP6
	GTF3C2
	CPSF7
	FIS1
	CPSF7
	SGSM2
	RNF39
	INTS4
	CPSF7
	FIS1
	CPSF7
	RPL17-C18orf32
	COPS4
	INTS4
	RPL17-C18orf32
	CPSF7
	INTS4
	RPL17-C18orf32
	INTS4
	ITPR1
	INTS4
	INTS4
	WDR41
	SDHAF2
	WDR41
	SHROOM2
	COPS4
	C18orf32
	METTL17
	WDR41
00240+6.3.4.2	CTPS2
	SHROOM2
	COPS4
	WDR41
	TMEM185A
	C18orf32
	C18orf32
	WDR41
	SHROOM2
	DDX39B
	COPS4
	WDR41
00240+6.3.4.2	CTPS2
	DDX39B
	COPS4
	DDX39B
	COPS4
00240+6.3.4.2	CTPS2
00240+6.3.4.2	CTPS2
	WDR41
	WDR41
	DDX39B
	WDR41
	SDHAF2
	OLIG1
	DDX39B
	S100G
	WDR41
	SDHAF2
	WDR41
	OLIG1
	SDHAF2
	WDR41
	DDX39B
	SDHAF2
	WDR41
	SDHAF2
	DDX39B
	WDR41
	SDHAF2
	RALGAPA1
	DDX39B
	SDHAF2
	DDX39B
	DDX39B
	DEAF1
	DEAF1
	DDX39B
	RTN1
	DDX39B
	DDX39B
	TMEM185A
	RTN1
	DEAF1
	AC022414.1
	C21orf62
	DDX39B
	TMEM185A
	DDX39B
	TMEM185A
	C21orf62
	ZYX
	FAM219A
	TMEM185A
	C21orf62
	ZYX
	C21orf62
	TMEM185A
	MICAL3
	IZUMO3
	FAM219A
	CDH7
	IZUMO3
	TMEM185A
	FAM219A
	RTN1
	IZUMO3
	ZYX
	CDH7
	TMEM185A
	ZYX
	TMEM185A
	KRTAP5-6
	ZYX
	CDH7
	ZYX
	RTN1
	FAM219A
	FAM219A
04150+2.7.11.24	MAPK1
	ZYX
04150+2.7.11.24	MAPK1
	FAM219A
	METTL17
	OR10AC1
	FAM219A
	FAM219A
	METTL17
	FAM219A
04150+2.7.11.24	MAPK1
	HERC2
	FAM219A
	ZMYND10
	ZMYND10
	TAS2R41
	HERC2
	ADARB1
	MICAL3
	HERC2
	OLIG2
	SF1
	OLIG2
	ITPR1
	MICAL3
	TAP2
	ADARB1
	OLIG2
	MICAL3
	ITPR1
	SGSM2
	ADARB1
	MICAL3
	TAP2
	ZMYND10
	SF1
	MICAL3
	PPP1R32
	MICAL3
	ZMYND10
	SGSM2
	METTL17
	TAP2
	ADARB1
	PPP1R32
	ZMYND10
	SGSM2
	MICAL3
	SF1
	TRIM31
	SGSM2
	ADARB1
	PPP1R32
	SNX22
	PPP1R32
	SGSM2
	ADARB1
	PPP1R32
	MICAL3
	PPP1R32
	SNX22
	MICAL3
	HTR6
	ADARB1
	ADARB1
	PRKAR2A
	MICAL3
	SGSM2
	MICAL3
	SGSM2
	ADARB1
	SF1
	MICAL3
	METTL17
	DNAI1
	CKS2
	MICAL3
	SLTM
	METTL17
	SLTM
	OR51F1
	SLTM
	ITPR1
	SF1
	PPIB
	METTL17
	OR51F1
	OR51T1
	METTL17
	SLC22A10
	OR51T1
	FRMD7
	METTL17
	ARL14EP
	OR51A2
	METTL17
	ARL14EP
	SLC22A10
	MDC1
	EEF1D
	OR51A4
	MDC1
	FRMD7
	MDC1
	ITPR1
	SLC22A10
	OR51A4
	MDC1
	FRMD7
	SF1
	OR51F2
	SLC22A10
	SF1
	CDK5R1
	OR51F2
	METTL17
	MDC1
	SF1
	SLTM
	CDK5R1
	CDK5R1
	SF1
	SLC22A24
	MDC1
	LRRC63
	TRIM40
	SF1
	LRRC63
	TRIM40
	SLC22A24
	DNAI1
	LRRC63
	SLC22A24
	TRIM40
	SLTM
	DNAI1
	SF1
	DNAI1
	SERF1B
	SF1
	IFITM10
	SLTM
	MMP26
	DNAI1
	SLTM
	SERF1B
	SLTM
	MMP26
	OR51G2
	ITPR1
	ALX4
	SF1
	SERF1B
	OR51G2
	IFITM10
	SLTM
	CCNL2
	SERF1B
	SERF1B
	OR51A7
	OR51A7
	SLTM
	SLTM
	SLTM
	NMB
	SLC22A25
	SLTM
	NMI
	NMB
	OR51G1
	AC068580.4
	SLC22A25
	AC068580.4
	NMI
	AC068580.4
	ACBD7
	OR51S1
	SLTM
	AC068580.4
	FKBP3
	OR52R1
	SMG6
	LSM4
	FKBP3
	LSM4
	FKBP3
	PCDHB1
	SLC22A25
	ITPR1
	LSM4
	SLC22A25
	FAM81B
	LSM4
	FAM81B
	FAM81B
	PRKAR2A
	TMCO4
	FAM81B
	PRKAR2A
	FAM81B
	TMCO4
	FAM81B
	FAM81B
	PCDHB2
	PRKAR2A
	PRKAR2A
	PRKAR2A
	EML5
	PRKAR2A
	PCDHB2
	PCDHB2
	PCDHB2
	PCDHB2
	RPP38
	RPP38
	ITPR1
	RPP38
	PRPF39
	FKBPL
	PRPF39
	CCNL2
	RPP38
	RPP38
	GRAPL
	MINDY2
	RPP38
	EML5
	MINDY2
	EML5
	NSUN2
	GRAPL
	SMG6
	GRAPL
	EML5
	CCNL2
	DPP6
	GRAPL
	ITPR1
	DPP6
	GRAPL
	DPP6
	CCNL2
	SMG6
	EML5
	FZR1
	ITPR1
	DPF1
	SMG6
	FZR1
	DPP6
	NSUN2
	CCNL2
	ITPR1
	FZR1
	IFT22
	DPP6
	MINDY2
	SMG6
	SMG6
	IFT22
	NSUN2
	DPF1
	DAXX
	ITPR1
	MINDY2
	RTP3
	CCNL2
	NSUN2
	CCNL2
	SMG6
	SMG6
	SMG6
	SMG6
	CCNL2
	SMG6
	SMG6
	EEF1D
	IFT22
	KIR2DL2
	EEF1D
	IFT22
	DPP6
	EEF1D
	STAT4
	DPF1
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	STAT4
	NRIP2
	LRRC9
	IFT22
	DPF1
	NRIP2
	EEF1D
	DPF1
	IFT22
	LRRC9
	NRIP2
	LRRC9
	EEF1D
	EEF1D
	FZR1
	PRPF39
	DPF1
	LRRC9
	PCDHB3
	FZR1
	IFT22
	PCDHB3
	LRRC9
	PRPF39
	LRRC9
	KIR2DL2
	C2orf73
	KIR2DL2
	PRPF39
	KIR2DL2
	DAXX
	DPF1
	STAT4
	PRPF39
	SEC14L3
	C2orf73
	NRG4
	TSR1
	DPF1
	PRPF39
	STAT4
	DPF1
	TSR1
	STAT4
	EEF1D
	TSR1
	EEF1D
	C2orf73
	STAT4
	DPF1
	DPF1
	STAT4
	TSR1
	REC8
	PCDHB11
	C2orf73
	PCDHB11
	C2orf73
	MAGEA11
	REC8
	C2orf73
	EEF1D
	SEC14L3
	EEF1D
	PCDHB8
	ITFG2
	REC8
	C2orf73
	MAGEA11
	EEF1D
	CCL23
	MAGEA11
	CCL23
	PCDHB7
	SEC14L3
	EEF1D
	ITFG2
	EEF1D
	SEC14L3
	PCDHB5
	SEC14L3
	EEF1D
	NRG4
	SEC14L3
	PCDHB5
	CCL23
	PCDHB4
	TRIM40
	MMEL1
	TRIM40
	SEC14L3
	EEF1D
	ZZEF1
	REC8
05170+2.7.11.1	ROCK2
04714+2.7.11.1	ROCK2
04151+2.7.11.1	ROCK2
05165+2.7.11.1	ROCK2
05163+2.7.11.1	ROCK2
04150+2.7.11.1	ROCK2
04926+2.7.11.1	ROCK2
	EEF1D
	AWAT2
	EEF1D
	TRIM40
	EEF1D
	AWAT2
05170+2.7.11.1	ROCK2
04714+2.7.11.1	ROCK2
04151+2.7.11.1	ROCK2
05165+2.7.11.1	ROCK2
05163+2.7.11.1	ROCK2
04150+2.7.11.1	ROCK2
04926+2.7.11.1	ROCK2
	RNF186
	HSFX1
	REC8
	EEF1D
	NMT2
	NRG4
	ZZEF1
	NRG4
	EEF1D
	EEF1D
	NRG4
	ROCK2
	DAXX
	EEF1D
	ITFG2
	NMT2
05170+2.7.11.1	ROCK2
04714+2.7.11.1	ROCK2
04151+2.7.11.1	ROCK2
05165+2.7.11.1	ROCK2
05163+2.7.11.1	ROCK2
04150+2.7.11.1	ROCK2
04926+2.7.11.1	ROCK2
	EEF1D
	ZZEF1
	EEF1D
	ZZEF1
	ITFG2
	EEF1D
	ITFG2
	NRG4
	CTSD
	EEF1D
	OTUD3
	AC244517.10
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	NRG4
	DTX2
	NRG4
	CCL18
	NRG4
	EEF1D
	ZZEF1
	PCDHB12
	NRG4
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	DAXX
	DTX2
	NRG4
	ITFG2
	PCDHB12
	HLA-DOA
05170+2.7.11.1	ROCK2
04714+2.7.11.1	ROCK2
04151+2.7.11.1	ROCK2
05165+2.7.11.1	ROCK2
05163+2.7.11.1	ROCK2
04150+2.7.11.1	ROCK2
04926+2.7.11.1	ROCK2
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	C6orf47
	PCDHB12
	DTX2
	ITFG2
	NRG4
	ITFG2
	CTSD
	CTSD
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	EEF1D
	HLA-DOA
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	EEF1D
	CTSD
	PCDHB9
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	CTSD
	EEF1D
	MAGEA9
	PCDHB9
	EEF1D
	CTSD
	EEF1D
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	OTUD6A
	CTSD
	EEF1D
	NUDT9
	EEF1D
	CTSD
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	EEF1D
	CTSD
	PCDHB10
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	DAXX
	ADRA2B
	EVL
	NUDT9
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
00030+2.2.1.2	TALDO1
	PCDHB16
	EVL
	CTSD
	NUDT9
	PCDHB16
	CTSD
	KIR2DS2
	TALDO1
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	PCDHB14
	NUDT9
	CTXND1
	KIR2DS2
	LTA
00030+2.2.1.2	TALDO1
	NUDT9
	RPE
	PCDHB14
	TALDO1
	EEF1D
	EXOSC10
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	EVL
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	EXOSC10
	LTA
	KIR2DS2
	EEF1D
	EVL
	PCDHB6
	EEF1D
00710+5.1.3.1	RPE
00030+5.1.3.1	RPE
00040+5.1.3.1	RPE
	PCDHB6
	EEF1D
	TNFAIP6
	PCDHB15
	PCDHB15
	CLDN34
	PCDHB13
	TRIM27
	MPPED2
	FKBP4
	EXOSC10
	DLGAP2
	FKBP4
	TRIM27
	DLGAP2
	TRIM27
	MPPED2
	FKBP4
	GOLGA8J
	NAPRT
	ASTL
	FKBP4
	FKBP4
	DAXX
	KIR3DL3
	FKBP4
	MFSD12
	MMEL1
	MMEL1
	MAGEA8
	MPPED2
	SEC14L4
	EVL
	EVL
	WRAP53
	MMEL1
	EVL
	MFSD12
	MPPED2
	EVL
	WRAP53
	C1GALT1
	MAGEA8
	MAGEA8
	C1GALT1
	EVL
	WRAP53
	SEC14L4
	P2RY6
	EVL
	NUMA1
	SEC14L4
	EVL
	FBXO22
	SEC14L4
00512+2.4.1.122	C1GALT1
	DAXX
	WRAP53
	FBXO22
00512+2.4.1.122	C1GALT1
	PRDM16
	FBXO22
	WRAP53
00760+6.3.4.21	NAPRT
00512+2.4.1.122	C1GALT1
	NUMA1
	NAPRT
	FBXO22
00565+3.1.1.4	PLA2G2E
00591+3.1.1.4	PLA2G2E
00564+3.1.1.4	PLA2G2E
00592+3.1.1.4	PLA2G2E
00590+3.1.1.4	PLA2G2E
	LRRC2
	WRAP53
	NUMA1
	WRAP53
	FBXO22
	LRRC2
	NAPRT
	FBXO22
	NUMA1
	FBXO22
00600+1.14.19.17	DEGS2
	FBXO22
	NAPRT
04658+3.1.3.16	DUSP2
05235+3.1.3.16	DUSP2
04660+3.1.3.16	DUSP2
00600+1.14.19.17	DEGS2
	TMEM232
	NUMA1
	NUMA1
	TSEN34
00760+6.3.4.21	NAPRT
	PRDM16
	TDGF1
	USP9X
	PRDM16
	PRDM16
	USP9X
	TDGF1
	ZNF442
	PRDM16
	NDUFB1
	TMEM232
	PRDM16
	ZNF442
	ZNF442
	MFSD12
	NDUFB1
	LIN37
04658+3.1.3.16	PPM1F
05235+3.1.3.16	PPM1F
04660+3.1.3.16	PPM1F
	NDUFB1
	ZNF442
	FAM240A
	TMEM232
	FAM240A
	NUMA1
04658+3.1.3.16	PPM1F
05235+3.1.3.16	PPM1F
04660+3.1.3.16	PPM1F
	TSEN34
	AC104304.2
	NDUFB1
	MFSD12
	NUMA1
	LIN37
04658+3.1.3.16	PPM1F
05235+3.1.3.16	PPM1F
04660+3.1.3.16	PPM1F
	LIN37
	TSEN34
04658+3.1.3.16	PPM1F
05235+3.1.3.16	PPM1F
04660+3.1.3.16	PPM1F
	NUMA1
	NDUFB1
	LIN37
	NUMA1
	CHMP4B
	TSEN34
04658+3.1.3.16	PPM1F
05235+3.1.3.16	PPM1F
04660+3.1.3.16	PPM1F
	NUMA1
	TMEM232
	TSEN34
	TMEM232
	NUMA1
	AD000671.1
	ERCC6L2
	TSEN34
	NUMA1
