KEGG Pathway and Enzyme ID	Gene name
	NMRAL1
	MBOAT7
	RPAP1
	NMRAL1
	NMRAL1
	RPAP1
	DUOX2
	CDK7
	SIGIRR
	NMRAL1
	RPAP1
	NMRAL1
	CDK7
	CDK7
00051+2.7.1.3	KHK
	SIGIRR
	DLGAP4
	CDK7
	MBOAT7
	RPAP1
00051+2.7.1.3	KHK
	CDK7
	CDK7
	MBOAT7
	CDK7
00051+2.7.1.3	KHK
	CDK7
	RPAP1
	RPAP1
	CDK7
	CDK7
	MBOAT7
	FYB1
	MAS1L
	IGHV3OR15-7
	IGHD5OR15-5A
	HIST1H2BO
	IGHD4OR15-4A
	OR2B2
	FYB1
	SIGIRR
	IGHD3OR15-3A
	SIGIRR
	SIGIRR
	IGHD2OR15-2A
	IGHD1OR15-1A
	SIGIRR
	SIGIRR
	DLGAP4
	DLGAP4
	ANKRD33B
	PPP1R17
	DLGAP4
	PPP1R17
	SIGIRR
	DLGAP4
	MOAP1
	AKAP11
	ANKRD33B
	FYB1
	MOAP1
	DLGAP4
	IFT88
	SIGIRR
	DLGAP4
	IFT88
	FYB1
	DLGAP4
	IFT88
	OR2B6
	IFT88
	APOL5
	TRIM39-RPP21
	TRIM44
	CCNY
	FYB1
	FYB1
	TRIM39
	FKBP6
	SHROOM4
	TRIM39
	FKBP6
	FKBP6
	SHROOM4
	FKBP6
	SHROOM4
	FKBP6
	FKBP6
	IFNGR2
	FYB1
	FKBP6
	OSGEP
	OSGEP
	OSGEP
	OR2H2
	AL035460.1
00860+1.14.14.18	HMOX2
	UBD
	TMEM239
	ASMT
	TMEM239
00640+1.1.1.27	LDHAL6A
00620+1.1.1.27	LDHAL6A
00270+1.1.1.27	LDHAL6A
00010+1.1.1.27	LDHAL6A
	CCNY
	UBE2L6
	CCNY
00640+1.1.1.27	LDHAL6A
00620+1.1.1.27	LDHAL6A
00270+1.1.1.27	LDHAL6A
00010+1.1.1.27	LDHAL6A
	C20orf141
	ASMT
	ASMT
00640+1.1.1.27	LDHAL6A
00620+1.1.1.27	LDHAL6A
00270+1.1.1.27	LDHAL6A
00010+1.1.1.27	LDHAL6A
	CCNY
	C20orf141
	ASMT
	ANKRD63
	IFNGR2
	TRIM39
	UBE2L6
	IFNGR2
	UBE2L6
	IFNGR2
	UBE2L6
	CCNY
	IFNGR2
	SERPINA6
	CCNY
	TRIM39
	IFNGR2
	TRIM39
00860+1.14.14.18	HMOX2
	TRIM39
	TRIM39
00860+1.14.14.18	HMOX2
	TRIM39
	TRIM39
	TRIM39
	TRIM39
	SERPINA6
	SERPINA6
00860+1.14.14.18	HMOX2
	GJD4
00860+1.14.14.18	HMOX2
	L2HGDH
00860+1.14.14.18	HMOX2
00860+1.14.14.18	HMOX2
00860+1.14.14.18	HMOX2
	FZD8
	L2HGDH
00860+1.14.14.18	HMOX2
	L2HGDH
00860+1.14.14.18	HMOX2
	TSG101
00860+1.14.14.18	HMOX2
	TSG101
00860+1.14.14.18	HMOX2
	L2HGDH
	TSG101
00860+1.14.14.18	HMOX2
	L2HGDH
00860+1.14.14.18	HMOX2
04070+3.1.4.11	PLCB2
00562+3.1.4.11	PLCB2
	SERPINA2
	L2HGDH
	TSG101
00860+1.14.14.18	HMOX2
	SERPINA2
00860+1.14.14.18	HMOX2
00860+1.14.14.18	HMOX2
	SERPINA2
	RPP21
	FZD9
	TMEM50B
	TMEM50B
	TMEM50B
	TMEM50B
	TMEM50B
	DUOX1
	PPP1R18
	DUOX1
	RPP21
	PPP1R18
	DUOX1
	RPP21
	RPP21
	SKOR1
	DUOX1
	DUOX1
	SKOR1
	KIR3DL2
	SKOR1
	KIR3DL2
	MUC20
	MUC20
	MUC20
	MUC20
	LY6G5C
	HIP1
	HIP1
	LY6G5C
	SKOR1
	HIP1
	HIP1
	HLA-DQB2
	HLA-DQB2
	HLA-DQB2
	UBR7
	HLA-DQB2
	UBR7
	UBR7
	UBR7
	ZSWIM3
	TENT2
	UBR7
	UBR7
	TENT2
	UBR7
	GON7
	GON7
	AL110118.4
	AL110118.4
	TENT2
	TMEM251
	TMEM251
	BMP15
	TENT2
	TENT2
	DNMT3L
	DNMT3L
	DNMT3L
	C20orf173
	THEMIS
	C20orf173
	THEMIS
	C20orf173
	C20orf173
	THEMIS
	THEMIS
	TNFSF11
	TNFSF11
	TNFSF11
	TNFSF11
	TNFSF11
	ZSWIM1
	ZSWIM1
	SREK1
	FAM20C
	HLA-B
	SREK1
	FSHR
	FSHR
	FSHR
	FSHR
	GABBR1
	SREK1
	AC008162.2
	SREK1
	CT47A12
	SREK1
	SREK1
	TSEN34
	TSEN34
	SREK1
	TSEN34
	TSEN34
	PAN3
	PAN3
	TSEN34
	TSEN34
	ADAP1
	ADAP1
	ADAP1
	ADAP1
	ADAP1
	ADAP1
	RPS21
	ADAP1
	RPS21
	RPS21
	DEFB125
	RPS21
	RNF5
	SRMS
	AC187653.1
	AC187653.1
	RMND5A
	CT47A11
	DDAH2
	ADAP1
	GABBR1
	DEFB126
	CT47A10
	GABBR1
	ADAP1
	ADAP1
	ADAP1
	RNF103
	LYZL1
	ADAP1
	GABBR1
	LYZL1
00970+6.1.1.9	VARS
	DDAH2
00970+6.1.1.9	VARS
	OTUB1
	LYZL1
	GABBR1
	EN1
	TLX2
	DDAH2
	ELF4
	IGHV3-66
	COX19
	TRBV5-5
	KRTAP1-3
	TLX2
	KRTAP1-1
	COX19
	MBD3L5
	KRTAP2-1
